,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Bifidobacterium_bombi_DSM_19703_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2056.164319,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,341.0221981,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_breve_UCC2003_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4113.910106,2.22E-16,2.22E-16,2.22E-16,133.7526911,2.22E-16,1474.681223,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,89.51436537,2.22E-16,2.22E-16,2.22E-16,2.22E-16,44.58166008,2.22E-16
Bifidobacterium_callitrichos_DSM_23973_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,178.3706772,14.17171064,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,240.3453593,2.22E-16,2.22E-16,2.22E-16,575.9412371,93.01185704,2.22E-16
Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1551.510384,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1653.189324,173.614961,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,36.97341846,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_choerinum_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,429.7494535,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6.125988435,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,412.3617212,2.22E-16,2.22E-16,2.22E-16,2.22E-16,43.83701069,2.22E-16
Bifidobacterium_coryneforme_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1695.782527,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,224.6032138,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_cuniculi_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,9.599529897,2.22E-16,2.22E-16,2.22E-16,2.22E-16,4155.244077,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,252.7850713,2.22E-16,2.22E-16,2.22E-16,2.22E-16,23.95294358,2.22E-16
Bifidobacterium_dentium_Bd1_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1841.335212,2.22E-16,2.22E-16,2.22E-16,1828.677987,2408.701006,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,380.4454683,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_gallicum_DSM_20093_=_LMG_11596_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,6959.37909,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,511.8689859,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16
Bifidobacterium_gallinarum_,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,200.2937869,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,1185.1447,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,2.22E-16,321.9031774,2.22E-16,2.22E-16,2.22E-16,2.22E-16,163.638761,2.22E-16
